unit_id,stage,model,scenario,technology,patch_id,logical_owner,submit_account,submit_host,submit_username,assignment_version,attempt,dependencies,expected_output,status,prepared_script_name,resource_profile,cpus_per_task,processes
extreme/MRI-ESM2-0/ssp585/solar/R04C10,extreme,MRI-ESM2-0,ssp585,solar,R04C10,乌镇9359,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,1,0,BCSD/MRI-ESM2-0/ssp585/solar/R04C10,<AGG_ROOT>/outputs/extreme/MRI-ESM2-0/ssp585/R04C10/solar.nc,not_submitted,extp_MRI-ESM2-0_ssp585_R04C10_solar.sh,resource_v3_extreme_multiprocess,16,16
extreme/MRI-ESM2-0/ssp585/solar/R04C11,extreme,MRI-ESM2-0,ssp585,solar,R04C11,乌镇9259,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,1,0,BCSD/MRI-ESM2-0/ssp585/solar/R04C11,<AGG_ROOT>/outputs/extreme/MRI-ESM2-0/ssp585/R04C11/solar.nc,not_submitted,extp_MRI-ESM2-0_ssp585_R04C11_solar.sh,resource_v3_extreme_multiprocess,16,16
extreme/MRI-ESM2-0/ssp585/solar/R04C12,extreme,MRI-ESM2-0,ssp585,solar,R04C12,乌镇1352,乌镇1352,scnet-wuzhen-1352,acm83pfnji,1,0,BCSD/MRI-ESM2-0/ssp585/solar/R04C12,<AGG_ROOT>/outputs/extreme/MRI-ESM2-0/ssp585/R04C12/solar.nc,not_submitted,extp_MRI-ESM2-0_ssp585_R04C12_solar.sh,resource_v3_extreme_multiprocess,16,16
extreme/MRI-ESM2-0/ssp585/solar/R05C04,extreme,MRI-ESM2-0,ssp585,solar,R05C04,乌镇173,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,1,0,BCSD/MRI-ESM2-0/ssp585/solar/R05C04,<AGG_ROOT>/outputs/extreme/MRI-ESM2-0/ssp585/R05C04/solar.nc,not_submitted,extp_MRI-ESM2-0_ssp585_R05C04_solar.sh,resource_v3_extreme_multiprocess,16,16
extreme/MRI-ESM2-0/ssp585/solar/R05C05,extreme,MRI-ESM2-0,ssp585,solar,R05C05,乌镇173,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,1,0,BCSD/MRI-ESM2-0/ssp585/solar/R05C05,<AGG_ROOT>/outputs/extreme/MRI-ESM2-0/ssp585/R05C05/solar.nc,not_submitted,extp_MRI-ESM2-0_ssp585_R05C05_solar.sh,resource_v3_extreme_multiprocess,16,16
extreme/MRI-ESM2-0/ssp585/solar/R05C07,extreme,MRI-ESM2-0,ssp585,solar,R05C07,乌镇1850,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,1,0,BCSD/MRI-ESM2-0/ssp585/solar/R05C07,<AGG_ROOT>/outputs/extreme/MRI-ESM2-0/ssp585/R05C07/solar.nc,not_submitted,extp_MRI-ESM2-0_ssp585_R05C07_solar.sh,resource_v3_extreme_multiprocess,16,16
extreme/MRI-ESM2-0/ssp585/solar/R05C08,extreme,MRI-ESM2-0,ssp585,solar,R05C08,乌镇9359,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,1,0,BCSD/MRI-ESM2-0/ssp585/solar/R05C08,<AGG_ROOT>/outputs/extreme/MRI-ESM2-0/ssp585/R05C08/solar.nc,not_submitted,extp_MRI-ESM2-0_ssp585_R05C08_solar.sh,resource_v3_extreme_multiprocess,16,16
extreme/MRI-ESM2-0/ssp585/solar/R05C10,extreme,MRI-ESM2-0,ssp585,solar,R05C10,乌镇1850,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,1,0,BCSD/MRI-ESM2-0/ssp585/solar/R05C10,<AGG_ROOT>/outputs/extreme/MRI-ESM2-0/ssp585/R05C10/solar.nc,not_submitted,extp_MRI-ESM2-0_ssp585_R05C10_solar.sh,resource_v3_extreme_multiprocess,16,16
extreme/MRI-ESM2-0/ssp585/solar/R05C11,extreme,MRI-ESM2-0,ssp585,solar,R05C11,乌镇9259,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,1,0,BCSD/MRI-ESM2-0/ssp585/solar/R05C11,<AGG_ROOT>/outputs/extreme/MRI-ESM2-0/ssp585/R05C11/solar.nc,not_submitted,extp_MRI-ESM2-0_ssp585_R05C11_solar.sh,resource_v3_extreme_multiprocess,16,16
extreme/MRI-ESM2-0/ssp585/solar/R05C12,extreme,MRI-ESM2-0,ssp585,solar,R05C12,乌镇151,乌镇1352,scnet-wuzhen-1352,acm83pfnji,1,0,BCSD/MRI-ESM2-0/ssp585/solar/R05C12,<AGG_ROOT>/outputs/extreme/MRI-ESM2-0/ssp585/R05C12/solar.nc,not_submitted,extp_MRI-ESM2-0_ssp585_R05C12_solar.sh,resource_v3_extreme_multiprocess,16,16
